CellID,Date,File,FileREbefore,FileREafter
3027,2012-02-13,MCD14A1.A2012044.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3511,2012-02-13,MCD14A1.A2012044.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3512,2012-02-13,MCD14A1.A2012044.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3577,2012-02-13,MCD14A1.A2012044.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3578,2012-02-13,MCD14A1.A2012044.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3647,2012-02-13,MCD14A1.A2012044.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2815,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2816,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2885,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2886,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2887,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2957,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3027,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3381,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3451,2012-02-15,MCD14A1.A2012046.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2543,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2544,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2613,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2614,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2615,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2684,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3022,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3092,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3313,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3383,2012-03-09,MCD14A1.A2012069.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2467,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742317_2012-11-10_RE4_3A_627058.tif
2537,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2673,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2674,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2743,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2744,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2745,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2746,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2813,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2954,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2955,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
